Time,Tx,Ty,Tz,Roll,Pitch,Yaw,S0_L0,S0_L1,S0_L2,S0_L3
1779277423.46883,-4.0,-5.0,4.0,0,0,0,13.71781234700615,13.704495291033325,11.293532133612487,13.687874070163646
1779277423.4718378,-4.0,-5.0,4.0,0,0,0,13.717722476936634,13.704495291033325,11.293532133612487,13.687874070163646
1779277423.4758313,-4.0,-5.0,4.0,0,0,0,13.717722476936634,13.704857708448712,11.293532133612487,13.687874070163646
1779277423.4788303,-4.0,-5.0,4.0,0,0,0,13.717722476936634,13.704857708448712,11.293755482510536,13.687874070163646
1779277423.4821887,-4.0,-5.0,4.0,0,0,0,13.717722476936634,13.704857708448712,11.293755482510536,13.688044611568351
1779277424.309563,-3.0,-5.0,4.0,0,0,0,13.714931759561512,13.706837451579254,11.742796191621958,13.625429801098715
1779277424.3135607,-3.0,-5.0,4.0,0,0,0,13.715384437260909,13.706837451579254,11.742796191621958,13.625429801098715
1779277424.316857,-3.0,-5.0,4.0,0,0,0,13.715384437260909,13.706928940924387,11.742796191621958,13.625429801098715
1779277424.3208208,-3.0,-5.0,4.0,0,0,0,13.715384437260909,13.706928940924387,11.74217614425266,13.625429801098715
1779277424.32382,-3.0,-5.0,4.0,0,0,0,13.715384437260909,13.706928940924387,11.74217614425266,13.625700119397942
1779277424.3268187,-3.0,-5.0,4.0,0,0,0,13.715021602207793,13.706928940924387,11.74217614425266,13.625700119397942
1779277425.0974913,-2.0,-5.0,4.0,0,0,0,13.712414796577699,13.709625698645956,12.192292989529802,13.49601622401355
1779277425.1016288,-2.0,-5.0,4.0,0,0,0,13.712594433291184,13.710078113669281,12.192374086543257,13.49601622401355
1779277425.1056304,-2.0,-5.0,4.0,0,0,0,13.712414796577699,13.710078113669281,12.192374086543257,13.49601622401355
1779277425.1086297,-2.0,-5.0,4.0,0,0,0,13.712414796577699,13.709715489159434,12.192374086543257,13.49601622401355
1779277425.1130028,-2.0,-5.0,4.0,0,0,0,13.712414796577699,13.709715489159434,12.192374086543257,13.49601622401355
1779277425.115517,-2.0,-5.0,4.0,0,0,0,13.712414796577699,13.709715489159434,12.192374086543257,13.496282700250715
1779277426.0802805,-1.0,-5.0,4.0,0,0,0,13.710069479585183,13.712504614493197,12.603802773025231,13.281253406859644
1779277426.0832794,-1.0,-5.0,4.0,0,0,0,13.710069479585183,13.712504614493197,12.603802773025231,13.28116614611681
1779277426.086289,-1.0,-5.0,4.0,0,0,0,13.71025079706406,13.712504614493197,12.603802773025231,13.28116614611681
1779277426.0902789,-1.0,-5.0,4.0,0,0,0,13.71025079706406,13.712594433291184,12.603802773025231,13.28116614611681
1779277426.0932894,-1.0,-5.0,4.0,0,0,0,13.71025079706406,13.712594433291184,12.603903231252728,13.28116614611681
1779277426.096286,-1.0,-5.0,4.0,0,0,0,13.71025079706406,13.712594433291184,12.603903231252728,13.28134066846247
1779277426.8184087,0.0,-5.0,4.0,0,0,0,13.708277220312848,13.715203017934579,12.958075097617362,12.981576030299497
1779277426.8230417,0.0,-5.0,4.0,0,0,0,13.707824894426622,13.715384437260909,12.958160780335223,12.981622170222874
1779277426.8265011,0.0,-5.0,4.0,0,0,0,13.707824894426622,13.715384437260909,12.958416246815975,12.981622170222874
1779277426.8295274,0.0,-5.0,4.0,0,0,0,13.707824894426622,13.715384437260909,12.958416246815975,12.981451931036506
1779277426.8319132,0.0,-5.0,4.0,0,0,0,13.708187443928693,13.715384437260909,12.958416246815975,12.981451931036506
1779277426.8353193,0.0,-5.0,4.0,0,0,0,13.708187443928693,13.715384437260909,12.958416246815975,12.981451931036506
1779277427.691463,1.0,-5.0,4.0,0,0,0,13.706114200132676,13.71790221795884,13.241381084808415,12.608965749798621
1779277427.6954625,1.0,-5.0,4.0,0,0,0,13.706114200132676,13.71790221795884,13.241467953746975,12.608965749798621
1779277427.6984596,1.0,-5.0,4.0,0,0,0,13.706114200132676,13.71790221795884,13.241467953746975,12.608965749798621
1779277427.7014587,1.0,-5.0,4.0,0,0,0,13.706114200132676,13.71790221795884,13.241467953746975,12.60886523103968
1779277427.7046516,1.0,-5.0,4.0,0,0,0,13.705843211350652,13.71790221795884,13.241467953746975,12.60886523103968
1779277427.7066517,1.0,-5.0,4.0,0,0,0,13.705843211350652,13.71790221795884,13.241467953746975,12.60886523103968
1779277428.4524846,2.0,-5.0,4.0,0,0,0,13.703508207929486,13.720429335881166,13.444472087543826,12.17635143344779
1779277428.456506,2.0,-5.0,4.0,0,0,0,13.70332874973188,13.720422420789193,13.444472087543826,12.17635143344779
1779277428.4595087,2.0,-5.0,4.0,0,0,0,13.70332874973188,13.720422420789193,13.444406689428188,12.17635143344779
1779277428.4645875,2.0,-5.0,4.0,0,0,0,13.70332874973188,13.720422420789193,13.444406689428188,12.17659280454834
1779277428.468118,2.0,-5.0,4.0,0,0,0,13.703599663943917,13.720422420789193,13.444406689428188,12.17659280454834
1779277428.471122,2.0,-5.0,4.0,0,0,0,13.703599663943917,13.720240901494632,13.444406689428188,12.17659280454834
1779277429.2581472,3.0,-5.0,4.0,0,0,0,13.701348041524064,13.72313180824915,13.568645163385996,11.702061229502208
1779277429.2621582,3.0,-5.0,4.0,0,0,0,13.701708608864772,13.723311655598533,13.56873527262918,11.702061229502208
1779277429.2661593,3.0,-5.0,4.0,0,0,0,13.701708608864772,13.723040156632955,13.56873527262918,11.702061229502208
1779277429.2696843,3.0,-5.0,4.0,0,0,0,13.701708608864772,13.723040156632955,13.56873527262918,11.702061229502208
1779277429.2726822,3.0,-5.0,4.0,0,0,0,13.701708608864772,13.723040156632955,13.56873527262918,11.701984974904322
1779277429.2761,3.0,-5.0,4.0,0,0,0,13.701437750728529,13.723040156632955,13.56873527262918,11.701984974904322
1779277430.005907,4.0,-5.0,4.0,0,0,0,13.700000784261707,13.726286566888561,13.628821338526832,11.229166171488107
1779277430.0099082,4.0,-5.0,4.0,0,0,0,13.700090480234776,13.726104931209187,13.62891204787926,11.228477566529918
1779277430.0129054,4.0,-5.0,4.0,0,0,0,13.700090480234776,13.726104931209187,13.62891204787926,11.228477566529918
1779277430.0169067,4.0,-5.0,4.0,0,0,0,13.700090480234776,13.726104931209187,13.629001046614608,11.228477566529918
